name,LocatorName,LocatorValue,LocatorType
button,type,//button[@type='button'],XPath
button,type,//button[@type='button'],XPath
ghcc-consent,id,//ghcc-consent[@id='ghcc'],XPath
div,id,//div[@id='ajax-error-message'],XPath
button,type,//button[@type='button'],XPath
template,id,//template[@id='site-details-dialog'],XPath
template,id,//template[@id='snippet-clipboard-copy-button'],XPath
template,id,//template[@id='snippet-clipboard-copy-button-unpositioned'],XPath
div,id,//div[@id='js-global-screen-reader-notice'],XPath
div,id,//div[@id='js-global-screen-reader-notice-assertive'],XPath
